Soriku16,Chun-Li,237910,United States,908208
nemosuJunichiJr,Kimberly,237495,Japan,2247391
ASASE,Zangief,237450,Japan,1924629
coup0n,Zangief,237384,United States,2769815
Oil King,Rashid,236983,Other,875421
Ferreras,Cammy,236801,Dominican Republic,1918752
Chaminsky,Zangief,236704,Japan,3949570
DoU_Know_Kimchi,Edmond Honda,236612,South Korea,1737445
おばけ505,Ken,235703,Japan,1277503
ROBINHO DA ILHA,Dee Jay,235633,Brazil,2456081
Kimchi-Slapper,JP,235424,United States,1441605
雄次郎【Yujiro】,JP,234984,Japan,1216707
HotDog29gg,Dee Jay,234929,Other,1551276
sivakaeru,Lily,234803,Japan,2760200
fiachan,Chun-Li,234708,Japan,2255432
edamakotoTwitch,Chun-Li,234420,Japan,1103500
Sekiganryu,Ryu,234379,Japan,1634516
KUSANAGI,Ken,234173,Mexico,744454
BlazeDeathBlade,A.K.I.,234164,United States,1703572
だいこく,Guile,233959,Japan,1588022
kuromame,Luke,233662,Japan,2151250
Ugang,Luke,233619,Other,1254439
ぽてぽてキリン,Rashid,233506,Other,3177441
だだっだ,Juri,233439,Japan,2205674
DRX LeShar,Chun-Li,233308,South Korea,1066187
Kazunoko,Cammy,233301,Japan,1682459
NightMareEffecT,Dee Jay,233008,Other,1973940
Akakuro,Marisa,232902,Japan,2135481
Nemo1127,JP,232806,Japan,1676864
SolVNG2,Luke,232714,Mexico,2752897
きんぐすベガ,Blanka,232677,Japan,1692940
KDL EnPetard,Dee Jay,232577,France,2332373
なふたれん,Guile,232528,Japan,1324371
Poppy_D_Weller,Cammy,232037,Japan,2832661
naooonn,Luke,231846,Japan,2550584
iPeru,Lily,231728,Peru,2416398
RocksteadyBR,Blanka,231558,Brazil,2351629
midori,Marisa,231508,South Korea,2234363
bravery,Cammy,231490,Singapore,756255
B站魔都100两两,Blanka,231448,China,1960784
HG|Kai k,Edmond Honda,231208,Chile,1535570
りょうつ,Ken,230659,Japan,3678226
SAMYUWEN,Blanka,230492,Japan,1456093
Joined the Meta,Zangief,230444,United States,1597630
Daze_729,Rashid,230161,South Korea,1467630
Cirde,Dee Jay,230040,United States,2074227
동탄_톰하디(GasMan),Luke,229968,South Korea,1008479
Syuji/シュウジ,Guile,229945,Japan,1463213
つぉーか,Guile,229679,Japan,1675906
MindRPG,Luke,229591,Thailand,3529482
屈託無くぶん殴った仏陀,Marisa,229250,Japan,1546860
Adrian Riven,Ken,229235,Cuba,1449791
naumanzoh,Ken,229225,Japan,1956296
iRandomlyMash,Luke,228988,Somalia,1762731
Valmaster,Chun-Li,228668,France,1275487
kosaku,Cammy,228642,Japan,1817125
1100g,Juri,228564,Japan,1734601
orarin1,Ken,228443,Japan,1273086
shin7270,Rashid,228422,Japan,1824492
Patelana,Juri,228384,Chile,1719997
Will2pac,Cammy,228372,France,2682309
AC-6,Dee Jay,228278,Other,530758
格闘家-绿豆,Chun-Li,228206,China,1423276
KEI.B,JP,228091,Japan,671638
LF | GHØST 亥,Dee Jay,227899,Brazil,2520122
KR_Wrestlingman,Juri,227878,South Korea,2066234
Shaka22,Dhalsim,227876,Argentina,1186916
theforce90,Ken,227610,Brazil,1556287
Boltstrike,Jamie,227406,United Kingdom,2308143
アルデシン,Marisa,227202,Japan,2485149
たこカス,Luke,227059,Japan,1722057
TDino,Guile,227012,Mexico,1496194
うめみょん,Marisa,226897,Japan,1909832
b站不利龙珠,Juri,226804,China,1592817
NEPHEW237142,Juri,226717,United States,1469370
たゆたゆ,Marisa,226489,Japan,886460
Yanai,Marisa,226463,Japan,1695055
MJ_Gama,JP,226336,Mexico,1922471
XLNL,Jamie,226335,South Korea,1977478
深呼吸します,Rashid,226294,Japan,1524935
KOFCHORRERA_507,JP,226218,Panama,2149024
BSIDA,Ken,226153,Other,1561290
Ryukichi,Ken,226121,Japan,1198713
Samurai,Luke,225968,Cambodia,608964
KUSANAGI,Luke,225911,France,1047541
アッキー,Dee Jay,225887,Japan,1046107
Pulgaa,Luke,225243,France,1956439
ミゲル伊藤,JP,225048,Japan,1859043
びちろー,Kimberly,225007,Japan,998560
Fenritti,JP,224915,Japan,1131053
nvedtest,Juri,224898,United States,960912
MOTHMAN,Cammy,224554,United States,1373672
Zach,Guile,224548,United States,1797296
Battra€,Kimberly,224498,Japan,526201
Brian_F,JP,224480,United States,1141518
へるちゃん,Chun-Li,224340,Japan,2817868
COMPLEX90,Dee Jay,224090,Dominican Republic,1897392
JOE_UMEROGAN,Luke,224007,Canada,1382688
激動のマタドール,Chun-Li,223998,Japan,7695110
Felthi,Luke,223850,Japan,1093700
CaptainY,Juri,223824,Singapore,1316961
小宅Douyu,Cammy,223558,China,1200387
筋トレ大好き,Manon,223464,Japan,3316586
suzuki_we,Cammy,223339,Japan,2550156
BonchanRB,Luke,223218,Japan,1659944
Haar_ryu,Ryu,222635,Japan,1027643
Vermillion Bird,Cammy,222497,China,680902
PureFootsies,Ken,222465,United States,2109382
SnakeJr,Ken,222111,Brazil,2124639
不会玩的,Dhalsim,221959,Other,1388477
そそそう,Ken,221548,Japan,2125026
GG_惰性,Ken,221510,Japan,3622680
Capitão Gancho,Jamie,221428,Brazil,1088944
抖音成都杰娃jiewa,Ken,221378,China,1691432
おさゆ～＠申し訳なすび,Cammy,221167,Japan,913668
galtu,Lily,221099,Japan,1492560
rapiD,JP,220973,United Kingdom,1585478
Fuudo,Dee Jay,220719,Japan,1391140
ranndo,Kimberly,220638,Japan,1746435
doruko,Dee Jay,220612,Japan,1286341
YOZOLA,Jamie,220611,Japan,1057724
段階だよAlisa,Luke,220604,Japan,2732354
ラテンアメリカンオーサー,Dee Jay,220585,Japan,1714725
Princess Peach,JP,220541,North Korea,840541
coco,Chun-Li,220503,Japan,2314440
Dynamite-PC,Zangief,220422,Japan,774032
foxxxx,Juri,220386,Japan,1930862
Free Palestine,Marisa,220372,Canada,1308850
JAH_LEXE,Ken,220259,Brazil,1023134
☆春日☆,Luke,220161,Japan,906436
Youshikibi,Cammy,220123,Japan,743950
drinku,Jamie,220110,Kuwait,874155
あっくん001Twitch,Ken,220070,Japan,1671313
チャッキーですよ_twitch,Jamie,220035,Japan,1498755
ふじい/FUJII,Ryu,220008,Japan,2501228
JACK_DOLL,Juri,219996,Japan,1737697
semy28,Ryu,219956,Germany,1115615
りゅうてる,Guile,219876,Japan,2306758
かまやん,Marisa,219653,Japan,1937666
HKDASH,Cammy,219572,Brazil,889444
すますと,Jamie,219567,Japan,2251795
higg,Guile,219549,South Korea,1632104
Alexis2904,Guile,219441,Brazil,1818405
魚群なるお,Ryu,219244,Japan,2508325
Whitelight678,JP,219217,China,2038940
九条/MG_Kujou,Lily,218832,Japan,941355
SFT GuillerBR,Guile,218691,Brazil,1312149
地元最強マン_twitch,Luke,218536,Japan,1492024
OneMan-Aron,Jamie,218375,Indonesia,569928
aoyama,Dee Jay,218278,Other,1398706
シェル・ザ・ノーリミット,A.K.I.,218200,Other,1491516
へかとん,Blanka,218108,Japan,1335134
わちゃわちゃ,Luke,218014,Japan,900846
fumi39dc,Cammy,217959,Japan,1053766
Kuwait,Lily,217868,Kuwait,1570869
ShadyImpostor,Dee Jay,217742,Poland,944525
KoKeC.,Edmond Honda,217716,Japan,2153384
Asura,Luke,217584,Saint Lucia,2017644
Booce_Lee,Ken,217584,United States,1752014
千葉/Chiba,Blanka,217466,Japan,1500634
にゃんぴです,Marisa,217287,Japan,1606207
タルタルソースたくや,Dee Jay,217228,Japan,1113291
ギロチンカッター,Chun-Li,217192,Japan,2101803
SNB Johnny,Marisa,217086,Japan,1812561
SASORI,Ken,217055,Japan,1396767
小岩井バンピ乃,JP,216848,Japan,1186653
DeusFSP,Jamie,216799,United States,2222134
ruok,Ken,216695,United States,1157657
ashumaru,JP,216683,Japan,2040076
Where Is Alice?,Ken,216653,Canada,933635
Mau Mau,Dee Jay,216557,Brazil,2377565
uroncha,Zangief,216519,Japan,1819929
santaroutv,Chun-Li,216517,Japan,1304531
sakeru_twitch,Juri,216283,Japan,1758417
Mr Morton,Dee Jay,216152,United States,1598565
伝説のN井,Juri,216062,Japan,1767072
Calango Jedi,Marisa,215999,Brazil,2224339
LUGABO,Kimberly,215935,Mexico,738538
Gust,Edmond Honda,215931,Brazil,1232412
GuizinD2,JP,215929,Brazil,1886070
タカシスキー,Ryu,215755,Japan,1179509
夜明けの口笛吹き,Manon,215524,Japan,1497066
猛毒使い柳龍光,Ken,215492,China,19888
Prophet,A.K.I.,215438,United States,1562371
ザンギおじ,Zangief,215424,Japan,1089260
Luffy,Manon,215371,France,1418024
DexVaas,Luke,215331,Brazil,2876742
KOGI,Ryu,215197,Japan,1358735
Franksoa,Ken,215063,Other,1775684
うらしま,Kimberly,215015,Japan,1198342
きたせんじゅ,Dee Jay,214964,Japan,1225798
shohei,Juri,214931,Japan,1165845
Ozu.,Rashid,214838,Japan,2256716
riot,Chun-Li,214827,Japan,1108081
GOL | Synphony,Cammy,214811,United States,976671
nezu,Manon,214662,Japan,1247417
クマガイ,JP,214656,Japan,1191216
huukai_v,Cammy,214508,Japan,2092316
potengel16,Ken,214398,Japan,2024257
おーyけ,Ken,214393,Japan,1364707
Azrealito,Marisa,214386,United States,1352316
GangTheMan,JP,214259,Japan,2405315
テイエム,Marisa,214217,Other,1634353
bigprotein,Dee Jay,214150,United States,1097166
naooonn,Ken,214115,Japan,2550584
シベール,JP,214112,Japan,1321445
Pontio,Edmond Honda,214073,Japan,1806933
やまじゅん*yamajun,Ken,214073,Japan,660722
ジャバおろ,Blanka,214039,Japan,1320124
youdau,Chun-Li,214028,Japan,1598615
てつだま,Edmond Honda,213987,Japan,729881
PONGIEF-youtube,Zangief,213943,Japan,1520240
IN THE RAW,Guile,213856,South Korea,1812071
FLT12345,Chun-Li,213834,Japan,1381931
Unsung,Rashid,213824,Japan,1626217
サイバーパン君,Chun-Li,213743,Japan,788492
tooama,Ryu,213742,Japan,2374469
COROTE_666,Blanka,213697,Brazil,1007707
-DingChunQiu-,JP,213672,China,97016
ナオナナ,Luke,213554,Japan,1479754
kurobuchi_b09,Marisa,213518,Japan,1113062
EGGS iEgis3rd,Luke,213454,Japan,1611055
JPKING,JP,213444,South Korea,1475263
tomorock21,Dee Jay,213415,Japan,1302355
@Zenith,A.K.I.,213400,Brazil,1087181
Codex,Cammy,213170,Mexico,1266751
obiheart,JP,212981,Japan,1993152
-Maldominant-,Dee Jay,212946,France,1146546
Imstilldadaddy,Guile,212921,United Kingdom,1922756
highspeedchaos,Ken,212742,United States,1389165
Rikemansbarnet,Juri,212718,Sweden,1345873
Pingutaro,JP,212708,United Kingdom,1181231
おおみや,Manon,212646,Japan,1317069
おみつぼう,Edmond Honda,212623,Japan,1941037
小早川先生,Ryu,212538,Japan,1306195
Shimiso,Rashid,212496,Japan,1038870
Leeito94,Dee Jay,212384,Argentina,937196
natadecos,Kimberly,212378,Japan,1768041
iyun1212＿Twitch,Jamie,212351,Japan,1127638
bobbyboom,Rashid,212304,Other,1669217
Betty,Juri,212298,Japan,1993849
にぽっぽぽ,Dee Jay,212102,Japan,1850749
GutsBoom,JP,212045,Japan,2347196
YADE＝Taki,Marisa,211972,Japan,1659086
なおちょ,Cammy,211918,Japan,1493424
あべてる(abeteru),Luke,211862,Japan,1580120
face,Chun-Li,211855,Japan,3092959
Onikidayo,JP,211832,Japan,1386443
Ｋ Ｍ Ｒ,Dee Jay,211829,Japan,1304992
X_Guile,Guile,211763,Japan,2112807
pizzatatsu,Blanka,211755,Japan,1943083
mago2dgod,Juri,211711,Japan,2650531
infimum00,Cammy,211570,Japan,734267
誉れは浜で死にました,A.K.I.,211563,Japan,1391306
DarKsword,Chun-Li,211529,Morocco,1463145
ODアムネジア？,JP,211485,Japan,1968376
砂川 誠,Marisa,211397,Japan,1243520
InvincibleBruce,Zangief,211319,China,1292020
Emirio-Katoret,Jamie,211214,Japan,1018793
Meraaa,Luke,211138,Japan,1834690
